fold#	line	filename	origline	indx	err_indx	error	correction	types
fold0	2430	ID2893.txt	19	61	61	Jahren	jahre	['corr: case']
fold0	2433	ID1241.txt	3	0	0	Das	Dass	['orth: 11 omissions: of double consonants']
fold0	2442	ID1241.txt	12	5	5	ist	sind	['corr: number']
fold0	2442	ID1241.txt	12	87	86	mal	Mal	['orth: 02 lcp instead of cap: other cases']
fold0	2444	ID1241.txt	14	0	0	Hat ja auch nie einer behauptet	das hat ja auch nie einer behauptet	['ommi: incomplete_clause']
fold0	2445	ID1241.txt	15	63	63	überall mitmachen wollen	Überall-mitmachen-Wollen	['orth: 02 lcp instead of cap: other cases', 'orth: 10 missing or unnecessary hyphen']
fold0	2445	ID1241.txt	15	101	101	dürfen	-Dürfen	['orth: 02 lcp instead of cap: other cases', 'orth: 10 missing or unnecessary hyphen']
fold0	2447	ID1241.txt	17	69	69	zu geben	zugeben	['orth: 06 sep instead of tog: compounds']
fold0	2468	ID1241.txt	38	32	32	den	der	['corr: case']
fold0	2472	ID1241.txt	42	0	0	Hinzukommen	Hinzu kommen	['orth: 09 tog instead of sep: other cases']
fold0	2476	ID1241.txt	46	22	22	soviel	so viel	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2477	ID1241.txt	47	118	118	neues	Neues	['orth: 02 lcp instead of cap: other cases']
fold0	2484	ID1241.txt	54	107	107	Parties	Partys	['orth: 18 transpositions: of vowels']
fold0	2486	ID1241.txt	56	44	44	träumen	Träumen	['orth: 02 lcp instead of cap: other cases']
fold0	2492	ID1241.txt	62	17	17	auf Arbeit	auf die arbeit	['ommi: incomplete_phrase']
fold0	2493	ID1241.txt	63	9	9	mann	man	['orth: 15 insertions: of double consonants']
fold0	2494	ID1241.txt	64	35	35	bleiben	bleibt	['corr: number']
fold0	2494	ID1241.txt	64	43	44	einen	einem	['corr: case']
fold0	2495	ID1241.txt	65	72	72	von Schauspieler	vom schauspieler	['ommi: incomplete_phrase']
fold0	2498	ID1241.txt	68	0	0	Erlebe auch ich so	das erlebe auch ich so	['ommi: incomplete_clause']
fold0	2505	ID1241.txt	75	62	62	ausprobieren	Ausprobieren	['orth: 02 lcp instead of cap: other cases']
fold0	2506	ID1241.txt	76	29	29	soviel	so viel	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2506	ID1241.txt	76	66	65	das	dass	['orth: 11 omissions: of double consonants']
fold0	2507	ID1241.txt	77	80	80	den	denn	['orth: 11 omissions: of double consonants']
fold0	2508	ID1633.txt	1	113	113	Essayist	essayisten	['infl: strong_instead_of_weak']
fold0	2514	ID1633.txt	7	42	42	neues	Neues	['orth: 02 lcp instead of cap: other cases']
fold0	2516	ID1633.txt	9	52	52	soetwas	so etwas	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2516	ID1633.txt	9	107	106	eintretten	eintreten	['orth: 15 insertions: of double consonants']
fold0	2518	ID1633.txt	11	78	78	hinten nach	hintennach	['orth: 06 sep instead of tog: compounds']
fold0	2529	ID1633.txt	22	49	49	im	in	['corr: other']
fold0	2530	ID1633.txt	23	27	27	Allem	allem	['orth: 03 cap instead of lcp']
fold0	2533	ID1633.txt	26	80	80	soetwas	so etwas	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2534	ID1633.txt	27	91	91	begangen haben	begangen zu haben	['ommi: incomplete_phrase']
fold0	2537	ID1633.txt	30	48	48	vorallem	vor allem	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2546	ID2395.txt	7	117	117	seinen	ihren	['corr: gender']
fold0	2546	ID2395.txt	7	135	136	seinem	ihrem	['corr: gender']
fold0	2546	ID2395.txt	7	161	163	seinem	ihrem	['corr: gender']
fold0	2547	ID2395.txt	8	33	33	durch z. B. Marken	z. b. durch marken	['woor: deviating']
fold0	2555	ID2395.txt	16	64	64	raus zu lassen	rauszulassen	['orth: 06 sep instead of tog: compounds']
fold0	2561	ID2395.txt	22	21	21	eine	einer	['corr: unknown']
fold0	2562	ID2614.txt	1	15	15	Enzenberger	Enzensberger	['orth: 28 Eigennamen']
fold0	2575	ID2614.txt	14	10	10	Pupertät	Pubertät	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	2577	ID2614.txt	16	19	19	Pupertät	Pubertät	['orth: 22 transpositions: of consonants: Fortis/Lenis']
fold0	2580	ID2614.txt	19	4	4	meißten	meisten	['orth: 23 transpositions: of consonants: other cases']
fold0	2587	ID2614.txt	26	33	33	rießen Anschiss	Riesenanschiss	['orth: 06 sep instead of tog: compounds', 'orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep', 'orth: 23 transpositions: of consonants: other cases']
fold0	2591	ID2895.txt	1	23	23	Enzberger	Enzensberger	['orth: 28 Eigennamen']
fold0	2592	ID2895.txt	2	49	49	schatten Seiten	Schattenseiten	['orth: 06 sep instead of tog: compounds', 'orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep']
fold0	2593	ID2895.txt	3	20	20	das	dass	['orth: 11 omissions: of double consonants']
fold0	2593	ID2895.txt	3	26	25	Er	er	['orth: 03 cap instead of lcp']
fold0	2593	ID2895.txt	3	90	89	ein	einen	['corr: unknown']
fold0	2593	ID2895.txt	3	96	93	großteil	Großteil	['orth: 02 lcp instead of cap: other cases']
fold0	2593	ID2895.txt	3	125	122	3. Reich	Dritten Reich	['orth: Unknown']
fold0	2594	ID2895.txt	4	25	25	das	dass	['orth: 11 omissions: of double consonants']
fold0	2594	ID2895.txt	4	31	30	Er	er	['orth: 03 cap instead of lcp']
fold0	2594	ID2895.txt	4	49	48	dingen	Dingen	['orth: 02 lcp instead of cap: other cases']
fold0	2595	ID2895.txt	5	31	31	das	dass	['orth: 11 omissions: of double consonants']
fold0	2596	ID2895.txt	6	33	33	Erwachsener	erwachsener	['orth: 03 cap instead of lcp']
fold0	2596	ID2895.txt	6	47	47	Rationaldenkender	rational denkender	['orth: 09 tog instead of sep: other cases', 'orth: 03 cap instead of lcp']
fold0	2596	ID2895.txt	6	72	71		dass	['orth: 11 omissions: of double consonants']
fold0	2596	ID2895.txt	6	77	72	dass	das	['orth: 15 insertions: of double consonants']
fold0	2596	ID2895.txt	6	107	103	stück	Stück	['orth: 02 lcp instead of cap: other cases']
fold0	2596	ID2895.txt	6	118	114	irsinnig	irrsinnig	['orth: 11 omissions: of double consonants']
fold0	2597	ID2895.txt	7	84	84	auslottet	auslotet	['orth: 15 insertions: of double consonants']
fold0	2600	ID2895.txt	10	90	90	Gier Kauf	Gierkauf	['orth: 06 sep instead of tog: compounds']
fold0	2600	ID2895.txt	10	118	119	Erwachsen werdens	Erwachsenwerdens	['orth: 06 sep instead of tog: compounds', 'orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep']
fold0	2601	ID2895.txt	11	32	32	Er	er	['orth: 03 cap instead of lcp']
fold0	2602	ID2895.txt	12	9	9	bezweifel	bezweifle	['infl: others']
fold0	2602	ID2895.txt	12	20	20	das	dass	['orth: 11 omissions: of double consonants']
fold0	2602	ID2895.txt	12	25	24	Er	er	['orth: 03 cap instead of lcp']
fold0	2602	ID2895.txt	12	32	31	sicht	Sicht	['orth: 02 lcp instead of cap: other cases']
fold0	2604	ID2336.txt	2	112	112	dies	Dies	['orth: 04 lcp/cap behind punctuation marks']
fold0	2622	ID2336.txt	20	10	10	Laufen	laufen	['orth: 03 cap instead of lcp']
fold0	2623	ID2336.txt	21	4	4	öfteren	Öfteren	['orth: 02 lcp instead of cap: other cases']
fold0	2642	ID2139.txt	6	36	36	machen	macht	['corr: number']
fold0	2642	ID2139.txt	6	59	60	haben	hat	['corr: number']
fold0	2643	ID2139.txt	7	109	109	ähnlichem	Ähnlichem	['orth: 02 lcp instead of cap: other cases']
fold0	2662	ID2139.txt	26	45	45	zu	nach	['corr: incorrect_preposition_(po)']
fold0	2670	ID2139.txt	34	21	21	neues	Neues	['orth: 02 lcp instead of cap: other cases']
fold0	2674	ID2139.txt	38	9	9	Erwachsen sein	Erwachsensein	['orth: 05 lcp/cap in combination with sep instead of tog/tog instead of sep', 'orth: 06 sep instead of tog: compounds']
fold0	2676	ID2139.txt	40	17	17	überlegen	Überlegen	['orth: 02 lcp instead of cap: other cases']
fold0	2678	ID2139.txt	42	63	63	mal	Mal	['orth: 02 lcp instead of cap: other cases']
fold0	2683	ID2139.txt	47	14	14	mehr und mehr souveräner	immer souveräner	['infl: comparision']
fold0	2688	ID2139.txt	52	30	30	menge	Menge	['orth: 02 lcp instead of cap: other cases']
fold0	2694	ID2139.txt	58	63	63	neues	Neues	['orth: 02 lcp instead of cap: other cases']
fold0	2703	ID2426.txt	5	53	53	eins	eines	['orth: 14 omissions: of one grapheme']
fold0	2706	ID2426.txt	8	42	42	Hanz	Hans	['orth: 28 Eigennamen']
fold0	2706	ID2426.txt	8	189	189	das	dass	['orth: 11 omissions: of double consonants']
fold0	2707	ID2426.txt	9	83	83	negative	Negative	['orth: 02 lcp instead of cap: other cases']
fold0	2708	ID2426.txt	10	28	28	Enzenberger	Enzensberger	['orth: 28 Eigennamen']
fold0	2710	ID2426.txt	12	178	178	immernoch	immer noch	['orth: 09 tog instead of sep: other cases']
fold0	2711	ID2426.txt	13	0	0	Desweiteren	Des Weiteren	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2711	ID2426.txt	13	25	24	das	dass	['orth: 11 omissions: of double consonants']
fold0	2711	ID2426.txt	13	52	50	Privilegierter	privilegierter	['orth: 03 cap instead of lcp']
fold0	2714	ID2426.txt	16	0	0		Des Weiteren	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2714	ID2426.txt	16	44	32	das	dass	['orth: 11 omissions: of double consonants']
fold0	2720	ID2426.txt	22	0	0	Genausowenig	Genauso wenig	['orth: 09 tog instead of sep: other cases']
fold0	2723	ID2426.txt	25	0	0	Genausowenig	Genauso wenig	['orth: 09 tog instead of sep: other cases']
fold0	2724	ID2426.txt	26	57	57	Gutes	gutes	['orth: 03 cap instead of lcp']
fold0	2725	ID2426.txt	27	25	25	das	dass	['orth: 11 omissions: of double consonants']
fold0	2725	ID2426.txt	27	72	71	das	dass	['orth: 11 omissions: of double consonants']
fold0	2726	ID2426.txt	28	76	76	Trinken	trinken	['orth: 03 cap instead of lcp']
fold0	2726	ID2426.txt	28	91	91	Tablettensüchtig	tablettensüchtig	['orth: 03 cap instead of lcp']
fold0	2726	ID2426.txt	28	109	109	Rauchen	rauchen	['orth: 03 cap instead of lcp']
fold0	2727	ID2426.txt	29	152	152	Man	man	['orth: 03 cap instead of lcp']
fold0	2728	ID2426.txt	30	112	112	Selbie	selbige	['orth: 14 omissions: of one grapheme', 'orth: 03 cap instead of lcp']
fold0	2735	ID1892.txt	2	54	54	Nebenan	nebenan	['orth: 03 cap instead of lcp']
fold0	2739	ID1892.txt	6	126	126	high	High	['orth: 04 lcp/cap behind punctuation marks']
fold0	2739	ID1892.txt	6	132	132	society	Society	['orth: 02 lcp instead of cap: other cases']
fold0	2762	ID1892.txt	29	9	9	weis	weiß	['orth: 23 transpositions: of consonants: other cases']
fold0	2776	ID2955.txt	14	101	101	schwer tun	schwertun	['orth: 06 sep instead of tog: compounds']
fold0	2796	ID2955.txt	34	41	41	alt	Alt	['orth: 02 lcp instead of cap: other cases']
fold0	2800	ID2955.txt	38	49	49	neues	Neues	['orth: 02 lcp instead of cap: other cases']
fold0	2830	ID1693.txt	26	32	32	gravierensten	gravierendsten	['orth: 14 omissions: of one grapheme']
fold0	2839	ID1693.txt	35	37	37	genannte	Genannte	['orth: 02 lcp instead of cap: other cases']
fold0	2840	ID1693.txt	36	12	12	Klassischer	klassischer	['orth: 03 cap instead of lcp']
fold0	2843	ID1693.txt	39	118	118	wiederspiegelt	widerspiegelt	['orth: 16 insertions: of a vowel: (ie) instead of (i)']
fold0	2855	ID2958.txt	9	1	1	labil	Labil	['orth: 04 lcp/cap behind punctuation marks']
fold0	2855	ID2958.txt	9	137	137	Die	der	['corr: case']
fold0	2857	ID2958.txt	11	28	28	darauf	dazu	['corr: incorrect_preposition_(po)']
fold0	2857	ID2958.txt	11	66	68	Zusammenfassend	zusammenfassend	['orth: 03 cap instead of lcp']
fold0	2859	ID2958.txt	13	18	18	desweiteren	des Weiteren	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2864	ID2958.txt	18	48	48	der	Der	['orth: 04 lcp/cap behind punctuation marks']
fold0	2867	ID2958.txt	21	18	18	folgendes	Folgendes	['orth: 02 lcp instead of cap: other cases']
fold0	2867	ID2958.txt	21	101	101	Geschichtlichen	geschichtlichen	['orth: 03 cap instead of lcp']
fold0	2871	ID2958.txt	25	54	54	was durch die Aussage man muss froh sein, wenn man das überstanden hat	was durch die aussage man muss froh sein, wenn man das überstanden hat vvfin	['ommi: incomplete_clause']
fold0	2873	ID2958.txt	27	77	77	durchließt	durchliest	['orth: 23 transpositions: of consonants: other cases']
fold0	2873	ID2958.txt	27	136	136	Jungendlich	jugendlich	['orth: 03 cap instead of lcp', 'orth: 17 insertions: other cases']
fold0	2874	ID2958.txt	28	14	14	widerum	wiederum	['orth: 12 omissions: of a vowel: (i) instead of (ie)']
fold0	2874	ID2958.txt	28	73	72	garnicht	gar nicht	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	2878	ID2958.txt	32	97	97	Beispielsweise	beispielsweise	['orth: 03 cap instead of lcp']
fold0	2878	ID2958.txt	32	147	147	dessen	deren	['corr: gender']
fold0	2879	ID2958.txt	33	20	20	ist	sind	['corr: number']
fold0	2879	ID2958.txt	33	30	29	Definitions	definition	['infl: others']
fold0	2881	ID2958.txt	35	32	32	welch	welche	['corr: unknown']
fold0	2882	ID2958.txt	36	10	10	Konsumieren	konsumieren	['orth: 03 cap instead of lcp']
fold0	2882	ID2958.txt	36	23	23	Beispielsweise	beispielsweise	['orth: 03 cap instead of lcp']
fold0	2882	ID2958.txt	36	38	38	unmengen	Unmengen	['orth: 02 lcp instead of cap: other cases']
fold0	2883	ID2958.txt	37	44	44	Jugendliche	jugendlichen	['corr: inflection_paradigm']
fold0	2894	ID2903.txt	7	81	81	schlecht machen	schlechtmachen	['orth: 06 sep instead of tog: compounds']
fold0	2900	ID2903.txt	13	66	66	sie	Sie	['orth: 01 lcp instead of cap: polite form']
fold0	2901	ID2903.txt	14	16	16	ihnen	Ihnen	['orth: 01 lcp instead of cap: polite form']
fold0	2901	ID2903.txt	14	26	26	ihrem	Ihrem	['orth: 01 lcp instead of cap: polite form']
fold0	2904	ID2903.txt	17	23	23	dass	das	['orth: 15 insertions: of double consonants']
fold0	2907	ID2903.txt	20	147	147	Erwachsen	erwachsen	['orth: 03 cap instead of lcp']
fold0	2913	ID2903.txt	26	141	141	Leid	leid	['orth: 03 cap instead of lcp']
fold0	2915	ID1683.txt	1	15	15	Heute	heute	['orth: 03 cap instead of lcp']
fold0	2915	ID1683.txt	1	34	34	Diskutiertes	diskutiertes	['orth: 03 cap instead of lcp']
fold0	2916	ID1683.txt	2	21	21	Damals	damals	['orth: 03 cap instead of lcp']
fold0	2921	ID1683.txt	7	30	30	Ein	ein	['orth: 04 lcp/cap behind punctuation marks']
fold0	2923	ID1683.txt	9	80	80	Wohn	Wohn-	['orth: 06 sep instead of tog: compounds']
fold0	2925	ID1683.txt	11	45	45	computerspielen	Computerspielen	['orth: 02 lcp instead of cap: other cases']
fold0	2930	ID1683.txt	16	87	87	zurück drehen	zurückdrehen	['orth: 06 sep instead of tog: compounds']
fold0	2932	ID1683.txt	18	159	159	nimmt	nehmen	['corr: number']
fold0	2940	ID1683.txt	26	31	31	Wenn	wenn	['orth: 04 lcp/cap behind punctuation marks']
fold0	2944	ID1683.txt	30	41	41	Strenge	Stränge	['orth: 19 transpositions: of (e/ä) / (ä/e)']
fold0	2944	ID1683.txt	30	94	94	Heute	heute	['orth: 03 cap instead of lcp']
fold0	2953	ID2682.txt	8	0	0	das	Das	['orth: 04 lcp/cap behind punctuation marks']
fold0	2953	ID2682.txt	8	35	35	Enzenberger	Enzensberger	['orth: 28 Eigennamen']
fold0	2958	ID2682.txt	13	15	15	provieren	probieren	['orth: 23 transpositions: of consonants: other cases']
fold0	2960	ID2682.txt	15	41	41	verbotenes	Verbotenes	['orth: 02 lcp instead of cap: other cases']
fold0	2964	ID2682.txt	19	18	18	angst	Angst	['orth: 02 lcp instead of cap: other cases']
fold0	2966	ID2682.txt	21	66	66	ausprovieren	ausprobieren	['orth: 23 transpositions: of consonants: other cases']
fold0	2969	ID2682.txt	24	31	31	dass	das	['orth: 15 insertions: of double consonants']
fold0	2969	ID2682.txt	24	55	56	lust	Lust	['orth: 02 lcp instead of cap: other cases']
fold0	2970	ID2682.txt	25	54	54	Fehlerfrei	fehlerfrei	['orth: 03 cap instead of lcp']
fold0	2971	ID2682.txt	26	35	35	zurecht kommen	zurechtkommen	['orth: 06 sep instead of tog: compounds']
fold0	2973	ID2682.txt	28	49	49	spaß	Spaß	['orth: 02 lcp instead of cap: other cases']
fold0	2974	ID2682.txt	29	4	4	erwachsener	Erwachsener	['orth: 02 lcp instead of cap: other cases']
fold0	2980	ID2682.txt	35	22	22	dass	das	['orth: 15 insertions: of double consonants']
fold0	2980	ID2682.txt	35	76	77	ausproviert	ausprobiert	['orth: 23 transpositions: of consonants: other cases']
fold0	2981	ID2682.txt	36	6	6	provieren	Probieren	['orth: 23 transpositions: of consonants: other cases', 'orth: 02 lcp instead of cap: other cases']
fold0	2984	ID2929.txt	3	82	82	ihm fehle es an Souveränität und Vernunft.	es ihm an souveränität und vernunft fehle	['woor: v2_instead_of_vl']
fold0	2985	ID2929.txt	4	63	63	dazu zu gehören	dazuzugehören	['orth: 06 sep instead of tog: compounds']
fold0	2985	ID2929.txt	4	79	81	er mit der Aussage Wenn der eine ein Motorrad hat, muss der andere auch eines haben.	was er mit der aussage 'wenn der eine ein motorrad hat, muss der andere auch eines haben' untermauert.	['ommi: incomplete_clause']
fold0	2986	ID2929.txt	5	154	154	sicheres	sicherem	['corr: case']
fold0	2991	ID2929.txt	10	88	88	spielen kann	spielen können	['corr: number']
fold0	2993	ID2929.txt	12	74	74	allgemeinheit	Allgemeinheit	['orth: 02 lcp instead of cap: other cases']
fold0	3001	ID2929.txt	20	109	109	Enzenbergers	Enzensbergers	['orth: 28 Eigennamen']
fold0	3002	ID1143.txt	1	16	16	sowiso	sowieso	['orth: 12 omissions: of a vowel: (i) instead of (ie)']
fold0	3004	ID1143.txt	3	7	7	erachtens	Erachtens	['orth: 02 lcp instead of cap: other cases']
fold0	3005	ID1143.txt	4	5	5	Wissenschaftler	wissenschaftlern	['corr: case']
fold0	3010	ID1143.txt	9	52	52	Tolleranz	Toleranz	['orth: 15 insertions: of double consonants']
fold0	3011	ID1143.txt	10	22	22	Behauptng	Behauptung	['orth: 14 omissions: of one grapheme']
fold0	3013	ID1143.txt	12	19	19	überleben	Überleben	['orth: 02 lcp instead of cap: other cases']
fold0	3013	ID1143.txt	12	34	34	Heute	heute	['orth: 03 cap instead of lcp']
fold0	3013	ID1143.txt	12	76	76	welchen	welchem	['corr: case']
fold0	3015	ID1143.txt	14	65	65	inder	in der	['orth: 09 tog instead of sep: other cases']
fold0	3018	ID1143.txt	17	26	26	diese	dieses	['corr: gender']
fold0	3018	ID1143.txt	17	53	52	nocheinmal	noch einmal	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	3035	ID1275.txt	15	0	0	Vorallem	Vor allem	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	3042	ID1275.txt	22	45	45	Tips	Tipps	['orth: 11 omissions: of double consonants']
fold0	3043	ID1275.txt	23	13	13	Jugendlicher	jugendliche	['corr: case']
fold0	3046	ID1275.txt	26	35	35	zurück zu kommen	zurückzukommen	['orth: 06 sep instead of tog: compounds']
fold0	3060	ID1994.txt	9	30	30	vier	viel	['orth: 23 transpositions: of consonants: other cases']
fold0	3062	ID1994.txt	11	30	30	genohmen	genommen	['orth: 11 omissions: of double consonants', 'orth: 17 insertions: other cases']
fold0	3065	ID1994.txt	14	22	22	Junge	junge	['orth: 03 cap instead of lcp']
fold0	3066	ID1994.txt	15	18	18	imer	immer	['orth: 11 omissions: of double consonants']
fold0	3071	ID1994.txt	20	29	29	Ungewissenheit	Ungewissheit	['orth: 17 insertions: other cases']
fold0	3074	ID1994.txt	23	38	38	verzweiflung	Verzweiflung	['orth: 02 lcp instead of cap: other cases']
fold0	3078	ID1994.txt	27	0	0	Klammotten	Klamotten	['orth: 15 insertions: of double consonants']
fold0	3082	ID1994.txt	31	41	41	Äußerlich	äußerlich	['orth: 03 cap instead of lcp']
fold0	3086	ID1994.txt	35	51	51	Jugendaufzählen	Jugend aufzählen	['orth: 09 tog instead of sep: other cases']
fold0	3087	ID1994.txt	36	12	12	ausdruckt	ausdrückt	['orth: 21 transpositions: of vowel and umlaut']
fold0	3090	ID1381.txt	1	49	49	Novembe	November	['orth: 14 omissions: of one grapheme']
fold0	3094	ID1381.txt	5	120	120	unanständiges	Unanständiges	['orth: 02 lcp instead of cap: other cases']
fold0	3094	ID1381.txt	5	140	140	unnormales	Unnormales	['orth: 02 lcp instead of cap: other cases']
fold0	3094	ID1381.txt	5	156	156	verrücktes	Verrücktes	['orth: 02 lcp instead of cap: other cases']
fold0	3095	ID1381.txt	6	43	43	gesunder	gesünder	['orth: 21 transpositions: of vowel and umlaut']
fold0	3096	ID1381.txt	7	16	16	dass	das	['orth: 15 insertions: of double consonants']
fold0	3100	ID1381.txt	11	10	10	den	denen	['orth: 13 omissions: of graphemecluster']
fold0	3100	ID1381.txt	11	59	57	nötige	Nötige	['orth: 02 lcp instead of cap: other cases']
fold0	3101	ID1381.txt	12	76	76	genissen	genießen	['orth: 24 transpositions: of (ss) and (ß)', 'orth: 12 omissions: of a vowel: (i) instead of (ie)']
fold0	3103	ID1381.txt	14	0	0	Stimm	Stimmt	['orth: 14 omissions: of one grapheme']
fold0	3105	ID1381.txt	16	119	119	stehet	steht	['orth: 17 insertions: other cases']
fold0	3106	ID1381.txt	17	75	75	feststehlen	feststellen	['orth: 23 transpositions: of consonants: other cases']
fold0	3109	ID1381.txt	20	17	17	dass	das	['orth: 15 insertions: of double consonants']
fold0	3109	ID1381.txt	20	107	108	Unternehmen	unternehmen	['orth: 03 cap instead of lcp']
fold0	3110	ID1381.txt	21	0	0	Mann	Man	['orth: 15 insertions: of double consonants']
fold0	3118	ID1965.txt	8	93	93	sets	stets	['orth: 14 omissions: of one grapheme']
fold0	3121	ID1965.txt	11	31	31	mehr wichtiger	wichtiger	['infl: comparision']
fold0	3130	ID1965.txt	20	72	72	Ausenseiter	Außenseiter	['orth: 23 transpositions: of consonants: other cases']
fold0	3139	ID2636.txt	5	41	41	Parties	Partys	['orth: 18 transpositions: of vowels']
fold0	3140	ID2636.txt	6	133	133	nach geht	nachgeht	['orth: 06 sep instead of tog: compounds']
fold0	3141	ID2636.txt	7	13	13	Sturm und Drang-Phase	Sturm-und-Drang-Phase	['orth: 10 missing or unnecessary hyphen']
fold0	3148	ID2636.txt	14	125	125		Leben lang	['orth: 09 tog instead of sep: other cases']
fold0	3150	ID2636.txt	16	57	57	indem	in dem	['orth: 09 tog instead of sep: other cases']
fold0	3153	ID2636.txt	19	37	37	dazu lernt	dazulernt	['orth: 06 sep instead of tog: compounds']
fold0	3157	ID1535.txt	1	37	37	Enzesberger	Enzensberger	['orth: 28 Eigennamen']
fold0	3158	ID1535.txt	2	88	88	wird der Konsumzwang und das unüberlegte handeln der Jugend genannt	werden	['corr: number']
fold0	3160	ID1535.txt	4	34	34	vorallem	vor allem	['orth: 08 tog instead of sep: minimal phraseologism']
fold0	3161	ID1535.txt	5	29	29	brechen	Brechen	['orth: 02 lcp instead of cap: other cases']
fold0	3161	ID1535.txt	5	62	62	verüben	Verüben	['orth: 02 lcp instead of cap: other cases']
fold0	3161	ID1535.txt	5	200	200	Jugen kriminalität	Jugendkriminalität	['orth: 14 omissions: of one grapheme', 'orth: 06 sep instead of tog: compounds']
fold0	3162	ID1535.txt	6	154	154	schämen	schämt	['corr: number']
fold0	3162	ID1535.txt	6	185	186	haben	hat	['corr: number']
fold0	3163	ID1535.txt	7	4	4	Jugenkultur	Jugendkultur	['orth: 14 omissions: of one grapheme']
fold0	3164	ID1535.txt	8	39	39	nähmlich	nämlich	['orth: 17 insertions: other cases']
fold0	3164	ID1535.txt	8	121	122	Induviualität	Individualität	['orth: 18 transpositions: of vowels', 'orth: 14 omissions: of one grapheme']
fold0	3165	ID1535.txt	9	122	122	jugendliche	jugendlichen	['corr: inflection_paradigm']
fold0	3165	ID1535.txt	9	169	168	dem	das	['corr: case']
fold0	3166	ID1535.txt	10	58	58	vorgestellt hat	vorgestellt haben	['corr: number']
fold0	3166	ID1535.txt	10	77	75	antworten	antwortet	['corr: number']
fold0	3166	ID1535.txt	10	174	172		werden	['infl: others']
fold0	3166	ID1535.txt	10	189	181	sie	sie	['corr: number']
fold0	3166	ID1535.txt	10	229	221	sie	sie	['corr: number']
fold0	3166	ID1535.txt	10	303	295	seien	sein	['infl: others']
fold0	3169	ID1535.txt	13	25	25	potential	Potential	['orth: 02 lcp instead of cap: other cases']
fold0	3169	ID1535.txt	13	79	79	besitzen	besitzt	['corr: number']
fold0	3169	ID1535.txt	13	87	88	imense	immense	['orth: 11 omissions: of double consonants']
fold0	3169	ID1535.txt	13	183	183	erscheint	erscheinen	['corr: number']
fold0	3170	ID1535.txt	14	104	104	Von	von	['orth: 03 cap instead of lcp']
fold0	3170	ID1535.txt	14	181	181	Souverän	souverän	['orth: 03 cap instead of lcp']
fold0	3171	ID1535.txt	15	69	69	weise	Weise	['orth: 02 lcp instead of cap: other cases']
fold0	3172	ID1535.txt	16	15	15	ausserdem	außerdem	['orth: 24 transpositions: of (ss) and (ß)']
fold0	3172	ID1535.txt	16	43	44	leben	Leben	['orth: 02 lcp instead of cap: other cases']
fold0	3173	ID1535.txt	17	0	0	Allerding	Allerdings	['orth: 14 omissions: of one grapheme']
fold0	3173	ID1535.txt	17	16	15	es	sie	['corr: gender']
fold0	3178	ID2558.txt	1	54	54	Essayist	essayisten	['infl: strong_instead_of_weak']
fold0	3178	ID2558.txt	1	78	76	Enzenberger	Enzensberger	['orth: 28 Eigennamen']
fold0	3178	ID2558.txt	1	144	141	ihr	ihrem	['corr: case']
fold0	3178	ID2558.txt	1	164	159	dessen	ihrem	['corr: case']
fold0	3178	ID2558.txt	1	170	166	wandel	Wandel	['orth: 02 lcp instead of cap: other cases']
fold0	3180	ID2558.txt	3	3	3	beginn	Beginn	['orth: 02 lcp instead of cap: other cases']
fold0	3180	ID2558.txt	3	27	27	erwäht	erwähnt	['orth: 14 omissions: of one grapheme']
fold0	3181	ID2558.txt	4	99	99	Phase	phasen	['corr: number']
fold0	3184	ID2558.txt	7	84	84	ersters	Erstes	['orth: 02 lcp instead of cap: other cases']
fold0	3184	ID2558.txt	7	121	122	Menschens	menschen	['infl: strong_instead_of_weak']
fold0	3185	ID2558.txt	8	20	20	erwäht	erwähnt	['orth: 14 omissions: of one grapheme']
fold0	3186	ID2558.txt	9	11	11	weiterer	weitere	['corr: unknown']
fold0	3186	ID2558.txt	9	71	72	ihm	ihn	['corr: case']
fold0	3188	ID2558.txt	11	58	58		clubben	['orth: 03 cap instead of lcp']
fold0	3189	ID2558.txt	12	34	34	gleich ältrige	gleichaltrigen	['corr: case']
fold0	3189	ID2558.txt	12	51	51	konkurenz	Konkurrenz	['orth: 11 omissions: of double consonants', 'orth: 02 lcp instead of cap: other cases']
fold0	3189	ID2558.txt	12	83	82	gleiche	Gleiche	['orth: 02 lcp instead of cap: other cases']
fold0	3189	ID2558.txt	12	110	109	neueres	Neueres	['orth: 02 lcp instead of cap: other cases']
